,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,blue_first_blood,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed,red_first_blood,red_first_blodd
8767,NA1_4488560428,200,70,3,7,0,2,0,17450,7.0,64,208,0,17,3,2,1,1,0,14436,6.8,60,196,0,1.0
8768,NA1_4474892841,200,16,4,3,0,4,0,15673,6.8,54,225,1,12,1,5,0,0,0,15069,6.8,41,202,0,
8769,NA1_4474867069,200,14,4,2,1,0,0,13960,7.0,50,202,0,18,2,2,1,3,0,16284,6.8,72,232,0,1.0
8770,NA1_4474823090,200,9,1,10,0,5,0,18448,6.8,55,185,0,13,1,8,0,2,0,18161,6.6,51,204,0,1.0
8771,NA1_4474778129,100,13,4,9,1,0,0,16777,7.0,59,181,0,14,0,12,1,2,0,18325,7.2,42,208,0,1.0
8772,NA1_4474812507,100,16,2,4,0,4,0,15842,7.0,54,231,1,13,5,4,1,3,0,15175,6.4,40,187,0,
8773,NA1_4474736888,200,18,3,3,1,2,0,16056,7.0,68,237,0,60,0,3,0,0,0,15675,7.0,68,228,0,1.0
8774,NA1_4474731598,100,12,3,5,1,2,0,15604,6.4,49,180,0,13,4,7,0,1,0,16250,6.6,56,166,0,1.0
8775,NA1_4474647728,100,15,6,9,0,5,0,19015,7.2,40,234,1,15,3,5,1,0,0,15801,6.6,56,182,0,
8776,NA1_4474184491,200,17,1,12,0,2,0,18814,6.8,48,190,1,10,2,12,1,2,0,18237,7.0,46,210,0,
8777,NA1_4474212777,200,20,3,3,1,0,0,14104,6.2,59,177,0,17,2,10,1,5,0,18791,7.0,52,211,0,1.0
8778,NA1_4504370154,200,13,1,3,2,1,0,15640,7.0,60,230,1,15,1,4,0,1,0,15967,7.2,58,232,0,
8779,NA1_4504332665,100,11,5,4,1,1,0,16522,7.4,76,252,1,17,2,2,0,1,0,15398,7.2,64,225,0,
8780,NA1_4504198368,200,13,3,3,1,7,1,17365,7.2,60,245,0,16,0,5,1,1,0,16450,7.4,76,207,0,1.0
8781,NA1_4504193852,200,13,2,5,1,0,0,15885,7.0,60,205,0,14,3,10,1,4,0,20604,7.6,48,256,0,1.0
8782,NA1_4503992624,100,9,1,3,1,1,0,14492,6.8,56,212,1,13,1,3,0,3,0,15592,6.8,58,214,0,
8783,NA1_4503965016,100,31,2,6,0,2,0,17185,7.2,60,224,0,13,2,7,0,2,0,17359,7.4,56,214,0,1.0
8784,NA1_4503705785,100,9,0,7,0,2,0,17593,7.0,60,245,0,14,1,5,1,0,0,16049,7.0,60,228,0,1.0
8786,NA1_4502736241,100,14,3,4,0,1,0,15738,6.8,56,211,0,11,4,6,1,1,0,16816,7.2,60,211,0,1.0
8787,NA1_4502694617,200,18,1,4,1,1,0,15904,7.2,54,210,0,17,3,13,1,1,0,19374,7.6,52,210,0,1.0
8788,NA1_4491804003,200,17,0,6,1,2,0,16680,7.2,83,208,1,11,3,2,1,0,0,13735,6.8,52,200,0,
8789,NA1_4466715497,100,14,5,4,1,1,0,16525,6.8,72,230,1,17,2,4,1,4,0,16552,6.8,57,224,0,
8790,NA1_4466721473,100,19,2,9,0,2,0,17441,6.8,50,206,0,17,5,3,1,0,0,15227,6.6,60,216,0,1.0
8791,NA1_4458816893,200,17,2,4,0,1,0,14890,6.6,32,206,0,16,2,7,1,1,0,17267,6.6,67,213,0,1.0
8792,NA1_4458820815,200,14,1,12,0,1,0,17928,6.6,50,175,0,16,1,7,0,0,0,15592,6.0,35,196,0,1.0
8793,NA1_4457897667,100,17,3,6,0,0,0,16076,6.8,62,189,1,16,1,8,2,3,0,17568,7.2,56,210,0,
8794,NA1_4456937683,200,14,3,3,0,0,0,13798,6.4,64,167,0,19,4,6,0,4,0,16755,7.0,60,238,0,1.0
8795,NA1_4456123613,100,27,5,7,0,1,0,17163,6.8,44,204,1,18,3,9,1,3,0,17734,7.0,64,213,0,
8796,NA1_4456100748,200,22,6,7,0,2,0,17813,7.2,56,236,1,65,4,9,1,1,0,19310,7.2,68,219,0,
8797,NA1_4456063152,100,12,2,11,1,5,0,21112,7.4,69,255,1,11,1,9,1,1,0,19231,6.8,55,191,0,
8798,NA1_4482174483,200,19,3,10,0,3,0,17704,7.0,52,193,0,89,1,4,0,1,0,15317,6.4,52,192,0,1.0
8799,NA1_4470160410,200,12,3,6,0,4,0,17606,7.2,56,251,1,24,1,6,1,3,0,17163,7.0,56,201,0,
8800,NA1_4469822711,100,11,0,8,1,3,0,17682,7.0,57,195,1,13,0,9,0,6,0,18605,7.2,48,227,0,
8801,NA1_4469783508,100,15,3,5,0,1,0,16803,6.8,48,235,1,17,2,3,0,0,0,15564,7.0,67,241,0,
8802,NA1_4468838882,100,11,1,7,0,3,0,17061,7.0,44,230,1,107,2,7,1,1,0,16036,6.6,46,210,0,
8803,NA1_4468835270,200,22,3,7,1,5,1,18448,7.2,59,222,1,14,5,6,0,1,0,15921,6.6,36,235,0,
8804,NA1_4468772022,200,8,0,6,0,1,0,15476,6.8,40,199,0,13,1,10,1,4,0,18523,7.4,56,229,0,1.0
8806,NA1_4460678143,200,12,0,3,0,2,0,14677,6.6,46,205,0,13,2,11,1,6,0,20212,7.2,56,211,0,1.0
