,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed
578,NA1_4491674578,200,26,3,1,0,0,0,14055,6.6,64,196,18,4,8,2,3,0,18206,6.6,56,208
579,NA1_4491656028,100,15,5,6,2,3,0,16938,7.0,68,222,15,2,4,0,3,0,16272,7.0,48,237
580,NA1_4491620377,100,12,2,4,1,0,0,15486,7.0,72,215,17,1,3,0,4,0,16198,7.2,68,230
581,NA1_4490772865,100,16,3,1,0,0,0,14218,6.8,68,201,13,8,4,1,2,0,16586,7.0,64,229
582,NA1_4490744146,100,14,2,7,1,7,0,18851,7.2,60,253,14,0,4,0,1,0,15295,6.8,68,195
583,NA1_4490706580,100,11,7,7,0,0,0,15964,6.8,60,185,20,3,8,2,6,0,17519,7.0,39,214
584,NA1_4490682966,100,19,5,5,0,0,0,16968,7.2,76,233,16,4,3,2,0,0,15308,6.8,52,216
585,NA1_4497206078,200,14,2,5,0,2,0,16891,6.6,48,210,43,2,13,0,9,1,21732,7.6,64,203
586,NA1_4497169562,100,12,1,11,2,11,1,22138,7.8,80,251,7,2,1,0,0,0,12188,5.6,32,147
587,NA1_4494355305,200,23,2,10,0,2,0,18346,7.0,49,196,13,4,7,0,3,0,16519,6.8,60,188
588,NA1_4494323971,100,12,5,8,0,2,0,17156,7.0,47,213,20,4,11,1,1,0,18226,7.0,52,213
589,NA1_4494279551,200,40,3,5,0,3,0,15997,6.8,49,208,35,3,14,1,5,0,20093,7.0,54,164
590,NA1_4494263873,200,15,4,9,1,1,0,17419,6.8,60,190,14,2,12,1,5,0,20098,7.2,64,210
591,NA1_4488845177,100,11,3,9,1,2,0,18694,6.8,52,217,12,1,8,0,3,0,17751,7.0,52,228
592,NA1_4488823264,100,14,1,6,1,2,0,16483,6.8,52,194,11,1,7,1,3,0,18257,7.2,76,222
593,NA1_4488808237,200,10,1,2,0,2,0,15136,6.4,60,222,13,2,12,1,4,0,20836,7.4,68,229
594,NA1_4467545404,200,15,2,5,0,0,0,14980,6.4,56,168,37,5,13,0,4,0,20137,7.2,56,217
595,NA1_4467166334,100,104,0,4,1,0,0,15465,6.8,65,208,16,3,10,0,2,0,17968,7.2,48,204
596,NA1_4461950302,100,17,1,8,1,1,0,17781,7.0,66,235,16,0,6,0,0,0,15022,6.4,28,181
597,NA1_4461866997,200,17,1,1,0,1,0,14397,6.8,56,213,16,4,4,1,2,0,16599,7.0,76,214
598,NA1_4461893062,100,16,3,11,1,3,0,18364,7.2,62,219,11,3,8,1,1,0,17775,6.8,71,178
599,NA1_4461870382,200,11,3,9,0,2,0,17963,7.0,52,222,17,2,5,0,3,0,16951,7.0,64,209
600,NA1_4460137200,200,14,2,3,1,2,0,16192,7.0,60,238,59,2,2,0,0,0,14708,7.0,55,212
601,NA1_4460123600,100,15,1,8,1,1,0,18592,7.2,44,232,21,1,7,0,0,0,17541,7.0,74,212
602,NA1_4460100635,200,12,0,6,1,2,0,17753,7.0,39,241,14,1,6,1,4,0,17822,7.6,92,235
603,NA1_4483853739,200,14,4,4,0,1,0,16035,7.2,44,233,17,3,4,0,1,0,15528,6.8,47,224
604,NA1_4479709363,100,62,2,15,1,4,0,21325,7.0,64,195,29,3,8,0,1,0,16763,6.6,52,183
605,NA1_4479668775,100,21,2,6,1,3,0,17382,7.2,71,201,15,0,4,0,0,0,14985,6.6,48,192
606,NA1_4479621576,200,10,2,2,0,1,0,14041,6.6,47,199,16,2,9,2,5,1,18561,7.2,48,255
607,NA1_4479493944,100,12,1,10,2,2,0,17782,6.2,58,189,10,3,9,0,0,0,17290,6.2,45,185
608,NA1_4479521822,100,119,4,9,1,4,0,18398,6.8,48,212,19,4,6,1,0,0,16934,7.0,48,231
609,NA1_4479490745,200,12,3,6,0,0,0,16840,7.0,52,212,17,2,10,0,3,0,18168,7.0,65,182
610,NA1_4479397593,200,20,3,3,0,3,0,15226,7.2,64,234,15,3,5,1,3,0,16218,6.8,55,214
611,NA1_4479394426,200,17,4,2,0,3,0,14741,6.6,64,195,15,4,14,0,4,0,19994,7.6,52,209
612,NA1_4504920451,100,19,1,14,0,9,1,21712,7.0,52,210,12,0,7,0,2,0,16337,7.0,32,210
613,NA1_4504907909,200,15,3,6,0,4,0,16922,7.0,55,197,15,1,5,0,0,0,15899,6.4,49,191
614,NA1_4504875756,200,17,2,5,1,2,0,16677,6.6,48,222,23,4,9,0,1,0,18262,6.8,51,226
615,NA1_4504850852,200,24,4,8,0,1,0,16323,6.4,40,173,14,5,9,0,4,0,18414,7.2,52,234
616,NA1_4504250604,200,18,2,1,0,1,0,13718,6.4,56,198,10,4,9,1,7,1,20722,7.0,67,253
617,NA1_4504236554,200,55,1,5,1,0,0,15628,7.0,62,194,13,4,6,1,4,0,17588,7.0,47,232
618,NA1_4504114592,100,10,1,8,1,2,0,17712,7.0,60,208,12,1,3,0,4,0,15597,7.0,35,214
619,NA1_4504100803,200,156,1,7,1,2,0,17336,7.0,64,226,10,0,6,0,2,0,16804,7.4,56,222
620,NA1_4504063832,200,11,1,10,1,5,1,20238,7.4,64,224,9,2,10,1,6,0,19897,7.2,60,241
621,NA1_4476306386,200,13,1,7,0,3,0,17626,7.0,52,224,32,0,4,0,1,0,15630,7.0,44,198
622,NA1_4476090315,100,14,4,11,1,1,0,18906,6.8,58,212,17,1,7,0,1,0,16273,6.6,64,197
623,NA1_4475974411,200,17,3,6,0,2,0,17123,6.8,64,221,21,5,4,2,2,0,16511,7.0,60,234
624,NA1_4475929462,200,13,4,8,1,5,0,19206,7.0,64,229,29,5,13,0,1,0,19379,7.0,64,197
625,NA1_4474771862,200,84,4,6,0,2,0,15940,6.8,62,188,11,5,10,0,1,0,18107,7.2,42,219
626,NA1_4474756298,100,13,4,4,1,5,0,16338,7.0,53,219,10,3,4,0,2,0,16180,7.0,53,233
627,NA1_4474731574,200,11,3,1,1,1,0,14435,6.8,56,253,10,4,5,0,3,0,17958,7.6,92,264
628,NA1_4474539706,100,18,3,6,2,1,0,16830,7.0,69,213,23,3,2,0,4,0,15780,7.0,72,223
629,NA1_4474545169,100,17,0,8,1,4,0,17782,7.0,71,213,14,0,7,0,2,0,16875,6.8,36,213
630,NA1_4492422498,200,18,2,13,0,1,0,18988,6.8,37,184,15,4,9,2,3,0,18155,6.8,64,193
631,NA1_4492418152,200,14,1,3,0,2,0,15108,6.4,56,181,9,3,12,1,5,0,19976,7.6,60,226
632,NA1_4492070223,200,18,5,2,0,0,0,16439,7.2,59,234,19,5,4,0,2,0,15865,6.6,53,188
633,NA1_4492019413,200,14,0,5,1,3,0,16235,6.8,64,182,21,2,7,1,6,1,18241,6.8,44,217
634,NA1_4491992762,200,51,1,5,0,0,0,15789,6.6,54,206,17,1,4,1,3,0,16622,7.0,48,248
635,NA1_4491958658,100,57,0,7,1,9,2,20665,7.0,51,236,10,1,2,0,1,0,10426,5.0,0,95
636,NA1_4491928362,100,15,1,12,0,6,0,19801,7.0,57,198,14,1,4,0,1,0,16002,6.8,43,196
637,NA1_4491871924,100,13,3,9,0,3,0,18958,7.4,56,230,12,2,3,1,1,0,15421,7.0,61,212
638,NA1_4491592569,200,12,3,4,0,1,0,15789,6.6,57,204,14,3,10,0,4,0,18810,7.2,58,230
639,NA1_4504538732,100,14,1,8,0,2,0,17891,7.2,72,216,12,1,3,0,0,0,14663,6.6,56,214
640,NA1_4504527279,200,14,1,10,0,4,0,18790,6.8,40,200,13,0,18,2,5,1,23481,7.2,44,209
641,NA1_4504493716,200,13,3,4,0,0,0,16232,6.8,48,203,12,3,8,1,2,0,18722,7.4,76,221
642,NA1_4504482324,100,16,3,10,1,6,0,19240,7.6,52,242,14,1,5,0,1,0,15577,6.8,40,228
643,NA1_4503699561,100,23,8,10,1,3,0,19337,7.2,52,204,15,4,6,1,1,0,16492,6.4,47,184
644,NA1_4503682084,100,13,0,6,1,3,0,17468,7.2,64,218,10,0,4,1,0,0,15297,6.8,64,181
645,NA1_4503653695,200,13,3,3,1,1,0,15514,7.0,68,201,14,0,5,0,3,0,16746,7.0,60,231
646,NA1_4503494941,100,18,6,8,1,3,0,18022,6.8,60,208,16,3,4,0,2,0,15236,6.8,60,204
647,NA1_4503469726,200,9,2,5,1,0,0,16488,7.0,66,199,14,2,9,1,3,0,18003,7.2,64,187
648,NA1_4490729556,200,18,1,9,0,1,0,18797,6.8,44,220,17,0,11,1,3,0,19650,7.2,74,244
649,NA1_4489584249,100,13,2,8,2,2,0,18146,7.0,55,224,15,0,9,0,0,0,17965,6.8,52,231
650,NA1_4489177944,200,24,4,11,0,2,0,19089,7.4,52,226,16,2,4,0,2,0,15908,6.8,54,203
651,NA1_4489116161,200,12,0,3,0,2,0,15090,6.8,38,208,16,1,9,0,0,0,18259,7.2,77,232
652,NA1_4489067460,100,17,0,13,0,9,1,21529,7.2,44,228,10,1,8,0,2,0,17529,6.8,56,189
653,NA1_4489039213,200,18,1,9,1,4,0,17186,7.0,31,195,12,2,14,0,5,0,20058,7.0,39,213
654,NA1_4488997497,200,43,3,2,0,0,0,13879,6.6,54,180,17,18,7,0,1,0,16941,6.8,48,222
655,NA1_4488949668,200,56,2,8,0,3,0,17600,7.2,49,214,67,14,7,0,0,0,16958,6.8,46,202
656,NA1_4488665648,100,13,5,7,1,3,0,18039,6.6,60,183,15,3,11,0,6,0,19459,7.2,52,204
657,NA1_4474919980,200,15,3,5,2,1,0,17003,7.2,80,243,12,5,5,0,0,0,15288,6.8,48,214
658,NA1_4474131032,100,42,2,11,1,2,0,18923,7.2,52,191,51,1,4,0,1,0,15900,6.6,56,205
659,NA1_4473256225,200,20,3,4,0,1,0,16241,6.8,49,210,64,6,10,0,2,0,18171,6.8,46,207
660,NA1_4471921597,200,40,1,7,0,2,0,17798,7.0,72,191,32,2,7,1,2,0,18826,6.6,52,226
661,NA1_4471265972,200,15,3,5,0,1,0,16398,6.8,56,246,13,3,7,1,3,0,19101,7.4,68,259
662,NA1_4469755973,100,26,1,6,1,6,1,18719,7.2,48,241,12,1,3,1,1,0,14782,6.6,59,225
663,NA1_4469723383,200,2,0,0,0,0,0,4285,2.2,0,36,9,0,0,0,0,0,4998,2.6,20,45
664,NA1_4467643811,200,16,5,9,0,3,0,18692,7.2,58,254,16,3,5,0,5,0,17606,7.4,70,262
665,NA1_4464961908,100,40,3,5,0,1,0,16488,6.6,47,209,41,5,9,1,6,0,19350,7.0,56,240
666,NA1_4480458600,200,13,3,4,0,1,0,15606,6.8,54,225,12,2,8,1,0,0,17562,7.4,64,226
667,NA1_4479184040,200,26,2,5,0,1,0,15859,7.2,51,211,15,6,5,2,1,0,15712,7.0,44,224
668,NA1_4479177036,100,15,3,9,1,5,1,19571,7.2,46,234,15,1,4,0,1,0,16321,7.0,41,252
669,NA1_4478546528,100,18,5,7,0,2,0,17013,6.4,68,194,13,3,5,2,2,0,16119,6.8,68,203
670,NA1_4478560429,200,21,1,3,0,1,0,16005,7.0,60,241,13,1,2,1,2,0,14995,7.0,60,231
671,NA1_4478446050,100,16,3,12,2,2,0,20175,7.4,65,229,82,1,3,0,1,0,15069,7.0,52,201
672,NA1_4478431459,200,52,1,6,0,1,0,16328,7.0,49,212,17,1,7,1,2,0,17173,7.0,62,212
673,NA1_4468637007,200,17,4,6,0,1,0,18050,6.8,72,203,16,5,10,1,2,0,19081,7.0,60,226
674,NA1_4467045343,200,15,1,1,0,0,0,13961,6.8,48,215,20,3,4,1,3,0,16718,7.0,58,236
675,NA1_4462944835,200,10,3,7,0,2,0,16767,6.6,57,154,14,2,18,0,3,0,20916,7.6,55,214
676,NA1_4462990355,100,13,2,4,0,2,0,16455,7.0,79,229,16,1,8,1,2,0,17803,7.0,52,228
677,NA1_4462608469,200,10,1,5,0,1,0,16576,6.8,61,246,13,2,11,0,2,0,18944,7.2,54,240
678,NA1_4461890814,100,17,4,4,1,8,0,17913,7.0,48,274,12,6,3,1,1,0,15356,6.6,71,202
679,NA1_4461826703,100,17,3,8,0,2,0,18150,7.2,56,213,13,3,9,0,3,0,18063,7.0,72,200
680,NA1_4461482040,200,15,4,9,0,1,0,17448,6.6,41,202,21,2,14,1,4,0,21799,7.2,68,221
681,NA1_4461456817,100,16,2,9,1,2,0,18149,7.2,56,233,13,4,1,0,1,0,13865,6.2,56,192
682,NA1_4461459837,100,8,3,9,1,6,0,19518,7.6,72,276,17,1,2,0,0,0,14363,6.6,69,194
683,NA1_4461374150,200,13,4,2,0,1,0,15096,6.6,51,230,70,6,6,0,4,0,17312,7.0,52,235
684,NA1_4482773314,100,11,3,9,1,2,0,18340,7.2,56,222,13,2,4,0,0,0,14623,6.6,46,164
685,NA1_4482761555,100,18,4,15,0,6,0,20961,7.0,57,176,33,3,7,0,1,0,16947,6.6,48,184
686,NA1_4482754525,200,15,3,5,1,0,0,15677,6.8,76,213,12,2,6,1,5,0,16549,6.6,46,214
687,NA1_4482750746,200,15,0,4,0,0,0,15903,6.6,55,205,14,3,8,0,1,0,17700,7.0,68,200
688,NA1_4482738638,100,140,1,12,1,6,1,21176,7.0,63,183,11,3,6,0,4,0,17536,7.2,62,207
689,NA1_4480970933,100,12,4,10,0,2,0,18875,7.2,52,226,18,3,5,1,1,0,17029,7.0,63,221
690,NA1_4480920894,200,11,1,4,0,2,0,16582,7.0,60,235,12,0,4,0,1,0,15501,7.2,56,210
691,NA1_4480905817,200,15,3,8,1,2,0,17239,7.2,63,210,17,0,5,0,1,0,16552,6.8,56,191
692,NA1_4480883198,100,14,5,6,0,0,0,17016,7.2,56,237,13,2,4,0,0,0,15877,7.0,56,202
693,NA1_4494997702,200,18,6,12,0,3,0,19206,7.6,45,216,15,1,6,0,0,0,16646,6.8,58,203
694,NA1_4487582466,100,18,4,9,0,3,0,18538,7.4,57,219,14,2,5,0,0,0,16309,7.0,58,226
695,NA1_4487057131,100,15,1,7,2,4,0,17880,7.2,59,213,18,1,7,0,1,0,15788,6.6,38,201
696,NA1_4487024712,100,13,1,7,0,4,0,17166,6.6,48,189,14,5,12,0,5,0,20504,7.4,47,253
697,NA1_4487014939,200,47,7,7,1,1,0,16534,7.2,60,215,16,15,7,0,0,0,17994,7.4,64,235
698,NA1_4486983700,100,9,2,5,1,1,0,15999,6.8,64,212,25,0,5,1,0,0,15397,6.6,60,187
699,NA1_4486966559,100,13,1,9,1,1,0,18041,7.0,44,211,59,4,8,0,0,0,16617,7.0,52,198
700,NA1_4480378089,200,27,4,3,1,0,0,15095,6.8,60,209,11,1,5,1,2,0,16450,7.4,54,230
701,NA1_4479855437,100,22,2,5,1,2,0,16046,6.8,48,186,14,3,4,1,1,0,15298,6.8,67,183
702,NA1_4473121915,200,14,4,6,0,0,0,16067,7.0,49,192,14,1,7,1,2,0,17908,7.2,74,230
703,NA1_4473024326,200,17,5,4,1,1,0,15434,6.6,44,221,16,3,4,0,2,0,15572,6.6,54,196
704,NA1_4473020312,100,54,1,7,1,2,0,17848,7.2,56,223,16,2,1,0,2,0,14628,6.8,63,206
705,NA1_4473014798,100,13,0,7,0,3,0,17005,6.6,45,191,12,6,7,1,0,0,16565,7.0,55,200
706,NA1_4472777257,100,18,1,7,0,2,0,17104,7.2,44,222,120,2,5,0,0,0,15802,6.8,59,200
707,NA1_4471923765,100,68,2,10,2,2,0,18105,6.8,44,202,78,4,7,0,2,0,17421,7.0,47,211
708,NA1_4471887290,200,13,3,7,0,1,0,17441,7.2,66,248,11,1,4,0,0,0,15542,6.8,64,208
709,NA1_4471758713,200,12,4,4,0,3,0,15318,6.8,45,227,15,0,8,0,2,0,17757,7.2,57,219
710,NA1_4471736272,100,16,3,6,0,1,0,17419,7.2,52,248,16,2,3,1,2,0,16115,7.0,59,225
711,NA1_4504558636,100,34,1,6,0,2,0,16525,7.4,58,219,47,3,8,1,6,0,18771,7.4,58,242
713,NA1_4504496616,100,21,3,18,0,6,0,23229,7.2,56,222,17,6,12,1,4,0,19583,7.0,44,201
714,NA1_4504487757,100,11,2,14,2,3,0,20438,7.4,40,246,11,3,3,0,0,0,15841,7.0,56,244
715,NA1_4504457089,100,15,2,8,0,5,0,20181,7.0,52,256,12,5,4,1,0,0,16452,7.0,52,228
716,NA1_4504440074,100,15,3,6,1,3,0,17101,6.8,64,217,13,6,6,1,0,0,15585,7.0,52,181
717,NA1_4504047365,100,37,24,6,0,0,0,15946,7.4,56,199,61,2,6,0,2,0,16925,7.0,56,238
718,NA1_4504001108,200,16,4,9,1,2,0,17673,7.2,48,209,17,2,6,1,2,0,16708,7.0,60,202
719,NA1_4503961564,100,16,0,6,0,9,1,19189,7.2,63,235,12,2,10,1,0,0,17190,6.8,36,200
720,NA1_4504511693,200,16,1,15,1,8,0,21345,7.6,59,231,14,2,4,1,1,0,15110,6.4,56,193
721,NA1_4504494418,200,22,3,6,1,2,0,16771,6.8,71,198,12,6,6,0,3,0,17906,7.0,52,266
722,NA1_4504473321,100,28,4,5,0,5,0,17630,7.2,40,251,17,2,5,1,0,0,15440,7.0,52,201
723,NA1_4503855657,200,37,2,6,0,1,0,16863,6.8,66,202,36,0,5,0,1,0,16545,6.8,68,191
724,NA1_4503833736,100,16,3,13,1,5,0,20669,7.4,57,225,13,4,3,1,2,0,15467,6.8,66,207
725,NA1_4503732477,200,17,5,9,0,1,0,17516,6.8,35,222,18,6,7,2,3,0,19124,7.2,68,244
726,NA1_4503700377,200,19,5,6,2,5,0,18062,7.2,57,243,14,4,5,0,0,0,16946,6.8,46,217
727,NA1_4501083757,100,10,2,15,1,4,0,21199,7.2,68,204,10,3,5,1,3,0,16250,6.6,48,202
728,NA1_4501061297,200,14,3,0,0,1,0,13409,6.4,51,191,98,2,11,2,4,0,18751,7.4,60,201
729,NA1_4497766933,100,16,0,3,1,2,0,15750,7.2,64,224,13,4,11,1,4,0,19300,7.2,56,232
730,NA1_4496787152,100,9,1,11,1,0,0,17560,7.0,46,187,10,0,5,0,1,0,16197,7.0,44,207
731,NA1_4496752342,100,14,4,9,1,4,0,17802,7.0,52,191,14,0,6,0,2,0,17079,6.6,56,203
732,NA1_4496735480,100,14,0,7,0,3,0,17113,6.8,64,211,14,2,10,1,4,0,19004,6.8,56,211
733,NA1_4495977474,100,14,2,9,1,2,0,18119,7.4,76,214,10,1,4,0,2,0,15176,7.0,55,190
734,NA1_4495955442,200,12,1,9,0,3,0,17720,7.2,52,198,18,3,12,1,2,0,19644,7.4,60,202
735,NA1_4495933198,200,12,5,7,0,1,0,18239,7.2,60,226,13,3,9,1,0,0,17106,7.2,68,221
736,NA1_4495918396,200,13,1,6,0,1,0,15480,6.2,64,183,19,3,2,2,4,0,16172,6.8,72,226
737,NA1_4495140478,200,13,0,5,0,1,0,15856,7.0,60,202,13,2,5,1,4,0,17443,7.4,80,229
738,NA1_4504916788,200,11,1,6,0,4,0,16687,6.8,52,208,24,0,12,0,2,0,18422,7.4,51,205
739,NA1_4504376902,200,12,3,9,0,2,0,17529,6.6,47,202,60,0,15,0,4,0,20856,7.0,28,166
740,NA1_4498648615,200,14,0,4,0,2,0,16434,7.0,68,222,13,0,7,2,1,0,18233,7.2,64,247
741,NA1_4498648027,200,34,2,5,0,0,0,15463,6.6,58,161,38,0,11,1,9,1,21480,7.6,56,223
742,NA1_4498639912,200,88,6,3,0,0,0,15200,6.4,56,215,18,2,8,0,3,0,18702,7.2,55,238
743,NA1_4495204615,100,14,3,7,1,3,0,17441,6.6,76,222,13,4,7,0,1,0,17932,7.2,67,212
744,NA1_4494259808,200,17,0,2,0,2,0,15531,7.2,56,237,13,4,4,0,0,0,16094,7.2,56,238
745,NA1_4494241923,200,16,1,2,0,2,0,14857,6.8,55,220,12,3,8,0,4,0,18033,6.8,53,211
746,NA1_4494216117,100,17,0,8,1,2,0,17790,7.4,64,200,10,0,4,0,2,0,16014,6.8,63,226
747,NA1_4495325238,200,13,1,9,1,8,1,19717,7.2,64,209,9,0,7,0,1,0,16825,6.6,44,202
748,NA1_4495191351,100,97,2,8,1,2,0,17798,7.4,56,237,12,3,3,0,1,0,15099,6.6,55,194
749,NA1_4495170801,200,16,3,10,1,2,0,17513,6.4,40,166,62,4,9,0,2,0,17965,7.2,80,187
750,NA1_4494831878,200,14,1,3,0,2,0,15513,6.8,48,222,14,1,7,2,4,0,17895,7.2,60,221
751,NA1_4494802995,100,15,2,6,1,5,0,17826,7.0,76,210,12,4,4,1,4,0,17056,7.0,72,226
752,NA1_4487238926,100,13,5,9,1,0,0,17748,7.2,56,217,12,0,2,0,1,0,14790,7.0,63,228
753,NA1_4485405491,100,15,4,14,1,6,0,20736,7.2,58,227,15,3,6,0,3,0,17179,6.8,52,207
754,NA1_4485352528,100,11,1,14,0,7,1,20485,7.0,48,225,160,1,7,2,2,0,15568,6.0,51,130
755,NA1_4485305425,200,14,1,6,0,0,0,15578,7.0,49,199,12,6,8,2,1,0,16726,6.8,51,233
756,NA1_4501601978,200,14,2,2,0,4,0,15448,6.6,64,216,13,2,9,1,3,0,17713,7.2,60,254
757,NA1_4500653855,200,4,0,1,0,1,0,8439,4.4,36,97,6,0,3,0,0,0,9234,4.6,36,104
758,NA1_4499447646,100,15,2,4,2,3,0,16499,6.6,68,203,14,2,10,0,3,0,17833,7.4,60,191
759,NA1_4499430383,100,12,0,7,0,7,1,20203,7.4,80,242,7,0,5,0,0,0,12756,5.2,8,177
760,NA1_4499419396,200,13,1,10,0,2,0,18952,7.2,70,219,13,0,13,2,2,0,20014,7.2,56,222
761,NA1_4499416030,100,4,0,1,0,0,0,5482,2.8,12,53,2,0,3,0,0,0,5517,2.8,12,37
762,NA1_4499032478,100,9,0,7,1,3,0,17911,7.2,68,227,14,1,4,1,1,0,15712,6.8,64,209
763,NA1_4499000365,200,14,3,6,1,0,0,17673,7.2,68,211,15,3,8,1,1,0,17161,7.2,59,207
764,NA1_4498910735,200,38,3,7,0,2,0,16689,7.2,54,190,34,4,9,0,5,0,18438,7.2,42,218
765,NA1_4479586356,100,16,2,10,1,5,0,19044,7.0,60,228,20,4,5,1,0,0,15479,6.8,43,241
766,NA1_4479593755,100,18,0,12,1,8,0,20372,7.4,49,226,12,2,5,0,1,0,15431,6.6,54,180
767,NA1_4476928586,100,17,6,9,0,4,0,18023,6.8,43,233,17,0,3,0,0,0,14566,6.6,38,186
768,NA1_4476963234,200,14,5,8,0,3,0,17041,7.0,34,210,14,0,5,1,1,0,16617,7.2,58,246
769,NA1_4476899263,100,14,0,4,1,2,0,15068,6.4,54,188,16,3,13,0,6,1,20399,7.0,44,238
770,NA1_4476877422,100,17,2,6,0,2,0,16063,6.8,40,203,17,1,4,0,0,0,14203,6.8,48,180
771,NA1_4476366859,100,14,2,4,0,1,0,15861,6.8,49,222,15,1,5,0,2,0,16613,7.2,57,214
772,NA1_4469648633,100,16,3,8,1,1,0,18884,7.0,56,238,18,0,7,1,1,0,17126,6.8,62,204
773,NA1_4469520034,100,15,2,10,0,2,0,18503,7.4,43,231,9,1,2,1,0,0,14664,6.8,59,203
774,NA1_4491761102,100,16,3,5,1,1,0,16301,7.2,61,222,87,3,3,1,1,0,14542,6.4,58,205
775,NA1_4491734152,200,81,0,1,1,0,0,15273,7.0,71,251,14,1,5,1,1,0,16902,7.0,46,242
776,NA1_4491698931,200,22,3,4,1,0,0,16213,7.0,73,181,14,1,5,0,2,0,16910,7.2,48,250
777,NA1_4491674499,100,17,3,13,1,4,0,20169,6.8,48,216,81,3,4,0,0,0,15228,6.4,51,175
778,NA1_4491648004,200,14,1,2,1,1,0,15408,7.0,58,248,87,3,6,1,2,0,17227,7.2,66,206
779,NA1_4491621397,200,12,3,8,1,5,0,17488,6.8,48,210,86,4,12,1,8,0,19623,7.0,52,211
780,NA1_4491574641,100,78,2,4,1,2,0,16528,7.2,55,230,10,0,5,1,0,0,16734,7.2,57,235
781,NA1_4491547237,200,15,1,17,1,4,0,21128,6.8,36,177,19,4,16,0,2,0,19676,6.6,48,204
782,NA1_4491524028,100,11,0,9,1,3,0,17818,7.0,48,204,12,1,9,1,2,0,17768,7.0,72,184
783,NA1_4493317469,100,15,2,8,1,4,0,17476,6.6,58,212,13,6,8,0,8,1,18686,6.8,48,229
784,NA1_4341603004,100,25,4,8,0,3,0,17313,6.8,56,205,15,2,8,1,2,0,17524,7.2,52,231
785,NA1_4336460810,200,21,2,5,0,3,0,16892,7.0,54,230,12,0,6,1,1,0,16558,7.4,67,207
786,NA1_4336403799,100,15,5,3,2,2,0,16336,7.4,72,256,14,0,5,0,2,0,16816,7.6,68,224
787,NA1_4336264347,200,34,2,5,0,0,0,16038,7.0,55,242,12,1,7,0,2,0,16919,6.8,56,220
788,NA1_4336208577,200,12,2,5,1,5,0,16279,7.0,48,199,16,2,13,0,5,0,20614,7.4,51,206
789,NA1_4336222343,100,17,3,3,1,3,0,15482,6.8,60,204,15,6,4,1,1,0,15508,7.0,52,207
790,NA1_4336148311,200,14,2,6,0,1,0,17222,7.4,72,216,29,1,9,0,3,0,19097,7.6,48,237
791,NA1_4336163087,100,54,5,9,1,3,0,18529,7.0,65,220,14,3,4,0,5,0,15409,6.4,41,222
792,NA1_4504491610,200,26,4,8,1,3,0,18185,7.2,52,241,19,2,3,1,2,0,15223,7.0,60,199
793,NA1_4503342018,200,85,4,5,0,2,0,17066,6.8,56,237,24,4,12,2,3,0,20394,7.0,48,194
794,NA1_4493027628,200,11,0,10,1,3,0,18665,6.6,47,180,12,1,7,1,2,0,16985,6.4,44,191
795,NA1_4492959140,100,15,2,4,2,1,0,14987,6.6,51,207,12,1,4,0,3,0,15992,6.8,48,224
796,NA1_4492894061,100,12,10,4,0,0,0,15375,6.8,49,208,36,4,3,1,2,0,15161,6.6,60,196
797,NA1_4492857092,100,14,2,7,1,1,0,17181,6.8,45,215,16,1,5,1,2,0,16441,6.8,46,232
798,NA1_4492656082,100,19,3,11,1,3,0,19538,7.2,39,205,16,2,7,1,3,0,17682,6.8,60,204
799,NA1_4492594037,100,17,2,4,0,3,0,17211,7.2,60,264,11,6,4,1,2,0,16850,7.2,64,249
800,NA1_4492518262,100,19,2,8,1,3,0,18616,7.0,72,199,12,3,7,0,0,0,16712,6.6,51,206
801,NA1_4504428181,100,14,1,5,0,2,0,16132,7.0,64,211,11,1,2,2,3,0,16184,7.2,76,238
802,NA1_4503813113,200,15,5,11,0,0,0,17997,6.6,63,197,15,1,6,0,1,0,15508,6.6,44,205
803,NA1_4503783155,100,13,2,7,1,2,0,16918,7.0,58,202,12,3,7,1,5,0,18359,7.2,69,203
804,NA1_4503620379,100,15,2,16,2,9,0,21716,7.6,46,215,13,1,6,0,1,0,16079,6.6,58,183
805,NA1_4502897819,200,17,2,4,0,0,0,16879,6.8,60,219,16,1,6,1,3,0,17433,7.0,60,222
806,NA1_4502681030,200,14,0,7,1,1,0,16676,7.2,53,227,18,2,8,1,2,0,17695,7.4,70,191
807,NA1_4501500433,100,11,4,9,0,4,0,18843,6.8,48,189,12,2,10,2,2,0,19134,7.0,51,214
808,NA1_4501468358,200,17,1,4,0,1,0,15373,6.4,40,191,11,2,9,0,4,0,17882,7.2,59,201
809,NA1_4501239522,200,11,2,9,0,2,0,17599,7.0,40,168,27,2,13,0,7,1,20762,7.4,58,201
810,NA1_4491589654,100,14,1,9,0,5,0,19668,7.6,71,242,13,3,3,0,0,0,15788,6.8,52,225
811,NA1_4491579765,200,14,5,7,0,4,0,17343,7.2,50,240,17,4,4,2,0,0,15850,6.8,60,197
812,NA1_4491547348,200,12,0,2,0,1,0,15553,7.0,80,234,11,1,6,1,3,0,16981,7.0,52,234
