,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed
417,NA1_4502017308,200,13,3,4,0,4,0,16735,7.2,56,229,16,0,1,1,2,0,14966,6.8,60,239
418,NA1_4501999157,200,16,1,4,2,3,0,15868,6.8,52,218,13,1,6,0,1,0,16675,6.8,64,206
419,NA1_4501364127,200,19,3,13,0,3,0,19411,7.4,56,213,58,2,10,1,0,0,20207,6.8,55,182
420,NA1_4500604092,100,14,4,9,0,5,0,18063,6.8,40,201,96,2,8,1,0,0,16874,7.0,60,185
421,NA1_4500576070,100,15,2,8,0,2,0,17158,6.4,44,186,14,1,7,1,3,0,16418,6.8,48,210
422,NA1_4500538377,100,17,1,10,1,4,0,19828,7.2,52,236,16,1,8,1,0,0,17783,7.2,76,214
423,NA1_4472798329,200,12,6,5,0,0,0,15931,7.0,56,219,15,3,7,1,4,0,17235,7.0,53,218
424,NA1_4472802790,200,32,1,8,1,0,0,17048,6.6,61,200,82,3,13,0,2,0,19398,7.0,50,203
425,NA1_4472779440,200,34,2,6,0,1,0,15782,6.0,44,160,33,2,10,0,3,0,18566,6.8,64,193
426,NA1_4472756324,100,16,2,5,1,4,0,17026,7.0,70,222,63,2,5,0,2,0,16085,6.8,48,209
427,NA1_4472773646,100,15,4,8,1,7,0,18107,7.0,64,214,12,4,9,1,2,0,17685,7.0,43,228
428,NA1_4472751329,200,18,3,6,0,0,0,16577,7.2,46,216,21,1,8,1,2,0,17582,7.0,59,201
429,NA1_4472720044,100,23,3,9,1,1,0,18392,7.4,85,191,16,3,6,0,3,0,16688,6.6,29,223
430,NA1_4465573622,100,36,3,8,0,1,0,17322,6.8,68,173,38,1,5,0,0,0,15832,6.6,68,206
431,NA1_4465529922,100,19,0,5,1,9,1,17985,6.6,44,218,12,1,2,1,2,0,14586,6.6,68,196
432,NA1_4504165774,100,13,2,5,1,1,0,16766,7.0,72,217,13,2,4,0,2,0,16561,7.0,44,242
433,NA1_4504139319,100,18,2,4,1,6,1,17737,6.8,72,192,90,0,5,1,1,0,15992,7.2,64,197
434,NA1_4504121986,100,20,4,13,1,1,0,19014,7.0,56,172,205,3,6,0,1,0,15900,6.4,48,185
435,NA1_4504092979,100,12,2,7,1,5,0,17611,7.2,64,232,10,2,3,1,0,0,15100,6.8,56,206
436,NA1_4504064974,200,17,2,1,1,0,0,13775,6.6,64,203,15,2,5,0,0,0,17016,7.2,80,227
437,NA1_4503378779,100,17,1,7,1,2,0,18013,7.2,79,199,18,1,8,0,1,0,16749,7.2,59,213
438,NA1_4503356509,100,10,3,8,1,4,0,17411,6.8,40,215,12,0,7,0,0,0,16333,6.8,67,186
439,NA1_4503315143,100,13,1,8,2,4,0,19122,7.0,64,201,15,1,7,0,0,0,17200,7.0,60,219
440,NA1_4503288067,100,37,3,8,1,3,0,17055,6.8,43,170,16,13,12,0,5,0,18672,7.0,48,198
441,NA1_4502003472,100,39,6,6,0,2,0,17249,7.0,44,264,19,1,5,0,1,0,15471,6.6,52,206
442,NA1_4492816938,100,10,5,7,0,2,0,17611,7.6,56,242,14,1,7,0,2,0,17273,6.8,50,205
443,NA1_4492772415,200,14,3,8,1,0,0,17405,7.0,44,196,15,1,11,0,1,0,19594,7.0,56,231
444,NA1_4491140233,200,16,1,10,1,2,0,18727,6.8,44,175,14,5,12,0,4,0,19492,6.8,42,190
445,NA1_4491121888,100,14,0,11,1,5,0,19057,7.2,38,211,14,2,2,0,0,0,14097,6.6,54,174
446,NA1_4486560815,200,13,1,7,0,2,0,17243,6.8,56,216,19,3,11,1,3,0,18275,7.4,56,176
447,NA1_4486506927,200,17,2,4,2,3,0,15823,6.8,60,202,14,4,3,0,5,0,15988,7.0,48,225
448,NA1_4486439426,100,21,1,6,2,5,0,17326,6.8,64,208,9,0,2,0,1,0,14233,6.8,53,197
449,NA1_4486404263,200,12,0,5,1,2,0,16145,6.4,64,184,20,0,6,0,4,0,17490,7.0,60,217
450,NA1_4504718143,200,14,2,14,1,6,0,20479,6.8,56,193,14,3,13,1,3,0,20003,7.0,67,176
451,NA1_4504565511,200,13,2,6,0,0,0,16518,7.0,66,205,17,2,12,2,5,0,20953,7.2,56,201
452,NA1_4504528985,100,11,1,8,0,3,0,17100,6.8,72,202,33,3,5,0,2,0,16752,6.8,48,218
453,NA1_4504506735,100,23,3,6,1,4,0,17393,7.0,68,204,16,5,7,1,2,0,17464,6.6,52,177
454,NA1_4503965918,100,13,0,9,0,6,0,19265,7.0,60,226,11,0,6,2,3,0,18197,7.4,72,246
455,NA1_4503884797,100,13,4,5,0,2,0,15574,7.2,48,215,12,1,13,0,6,0,19821,7.4,39,206
456,NA1_4503821656,200,12,2,5,0,0,0,14589,6.8,60,146,19,0,8,1,4,0,17542,6.8,46,242
457,NA1_4503791337,200,12,6,5,0,3,0,16207,7.0,60,218,19,3,8,0,5,0,18485,7.2,46,231
458,NA1_4503763114,200,15,2,6,0,3,0,16408,7.0,45,222,14,0,4,0,2,0,16404,6.6,52,202
459,NA1_4488083674,100,10,2,8,0,1,0,16952,7.0,56,212,15,1,7,0,2,0,17759,6.8,48,215
460,NA1_4480839513,200,15,10,6,0,0,0,16602,7.0,62,187,39,2,10,1,5,0,18942,7.4,58,226
461,NA1_4470658177,100,10,2,6,1,3,0,17589,7.2,75,236,15,1,2,0,0,0,14208,6.8,51,209
462,NA1_4460232896,100,15,1,6,0,2,0,16385,7.0,52,213,15,1,7,1,3,0,16925,7.2,53,205
